word	IDF_val
fountainhead	3.402777069610347
casa	3.402777069610347
espritus	3.402777069610347
los	3.101747073946366
without	2.4996870826184034
world	1.9479322096018372
atonement	3.226685810554666
prejudice	3.101747073946366
pride	3.101747073946366
persuasion	3.402777069610347
emma	3.402777069610347
sensibility	3.226685810554666
sense	3.0048370609383097
dunce	3.402777069610347
confederacy	3.402777069610347
cryptonomicon	3.402777069610347
code	3.0048370609383097
da	2.7495645558350033
vinci	3.402777069610347
kite	3.402777069610347
runner	3.226685810554666
shel	3.402777069610347
poem	2.4996870826184034
drawing	3.101747073946366
silverstein	3.402777069610347
sidewalk	3.402777069610347
day	2.2124453714400554
talk	3.101747073946366
pretty	2.8587090252600715
back	2.8007170782823847
hobbit	3.0048370609383097
brave	3.0048370609383097
new	2.305867056602291
